state,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
north-carolina,"(591.601, 0.42)","(577.582, 0.42)","(563.921, 0.5)","(552.561, 0.42)","(539.53, 0.23)","(515.905, 0.38)","(502.29, 0.57)","(493.449, 0.92)","(488.074, 1.96)","(485.581, 1.0)","(480.749, -0.43)","(491.836, 0.47)","(481.456, 1.12)","(477.149, 0.18)","(451.183, 0.25)","(433.376, 0.34)","(420.671, 0.52)","(412.63, 0.58)","(405.478, 0.7)","(399.716, 0.38)","(389.313, 0.18)","(368.23, 0.24)","(352.893, 0)"
north-dakota,"(57.181, -5.15)","(57.292, 0.23)","(54.832, 0.61)","(53.936, -0.1)","(59.091, -0.13)","(63.565, 0.15)","(59.283, 0.45)","(57.956, 0.05)","(47.412, 0.08)","(41.688, 0.12)","(38.097, 2.23)","(37.926, 0.13)","(34.937, 0.15)","(32.669, 0.26)","(31.413, 0.42)","(30.658, 0.48)","(30.015, 0.15)","(28.019, 0.21)","(26.678, 0.34)","(25.901, 0.29)","(25.016, -3.29)","(25.092, 0.19)","(23.778, 0)"
ohio,"(695.362, 0.84)","(687.08, 0.39)","(669.516, 0.7)","(660.009, 1.07)","(653.822, 0.56)","(642.228, 0.27)","(618.874, 0.53)","(607.222, 0.72)","(598.814, 0.32)","(579.901, 0.39)","(564.874, -0.28)","(585.358, -0.56)","(595.791, 6.13)","(594.819, -1.71)","(598.294, 0.71)","(589.809, 0.47)","(577.156, 0.75)","(569.481, 0.45)","(556.766, -0.94)","(562.663, 0.55)","(552.453, 0.41)","(539.1, 0.25)","(517.381, 0)"
oklahoma,"(202.036, -19.24)","(202.141, 0.23)","(193.33, 0.43)","(188.818, -0.22)","(197.589, -0.16)","(209.658, 0.23)","(200.642, 0.33)","(194.487, 0.35)","(188.895, 0.19)","(178.967, 0.27)","(172.359, -0.1)","(190.228, 0.13)","(175.766, 0.35)","(170.704, 0.16)","(159.715, 0.16)","(149.464, 0.23)","(142.961, 0.25)","(137.334, 1.15)","(136.142, 0.25)","(130.691, 0.18)","(123.613, 0.49)","(121.101, 0.64)","(119.201, 0)"
oregon,"(253.623, 0.35)","(246.298, 0.26)","(236.644, 0.27)","(227.9, 0.22)","(217.524, 0.17)","(204.492, 0.31)","(197.918, 0.94)","(195.821, 3.26)","(195.221, 0.51)","(191.362, 1.19)","(189.749, -0.28)","(196.526, 3.44)","(195.955, 0.77)","(193.411, 0.21)","(184.399, 0.47)","(180.493, 0.24)","(172.909, 0.34)","(167.875, 0.59)","(165.035, -0.46)","(168.648, 0.16)","(158.121, 1.19)","(156.793, 0.34)","(152.202, 0)"
pennsylvania,"(808.737, 0.49)","(792.27, 0.51)","(776.652, 1.62)","(771.87, 0.95)","(763.771, 0.51)","(748.708, 0.44)","(731.849, 0.58)","(719.24, 0.63)","(707.741, 0.88)","(699.707, 0.39)","(681.79, -0.64)","(692.424, 0.51)","(678.72, 0.29)","(655.23, 0.95)","(648.349, 0.56)","(636.686, 0.34)","(618.074, 0.46)","(604.56, 0.88)","(597.658, 0.56)","(586.938, 0.46)","(574.039, 0.34)","(557.288, 0.29)","(537.943, 0)"
rhode-island,"(61.884, 0.7)","(60.994, 1.46)","(60.575, -1.18)","(61.09, 1.53)","(60.691, 0.32)","(58.818, 1.04)","(58.251, 1.86)","(57.937, 1.08)","(57.403, -1.49)","(57.788, 0.49)","(56.611, 1.02)","(56.056, -0.29)","(57.974, -0.4)","(59.438, 0.4)","(57.959, 0.79)","(57.229, 0.23)","(54.733, 0.28)","(52.787, 0.24)","(50.627, 0.51)","(49.636, 0.23)","(47.458, 0.32)","(45.962, 0.2)","(43.616, 0)"
south-carolina,"(247.544, 0.31)","(239.487, 0.36)","(232.862, 0.38)","(226.803, 0.29)","(218.899, 0.2)","(207.962, 0.33)","(201.722, 0.41)","(196.833, 0.88)","(194.6, 0.6)","(191.382, 0.79)","(188.965, -0.51)","(192.653, -4.06)","(193.127, 0.36)","(187.796, 0.4)","(183.145, 0.44)","(178.956, 1.02)","(177.207, 0.34)","(171.999, 0.41)","(167.842, 0.75)","(165.607, 0.44)","(161.842, 0.21)","(154.294, 0.21)","(146.917, 0)"
south-dakota,"(54.941, 0.73)","(54.189, 0.32)","(52.472, 0.72)","(51.747, 0.81)","(51.109, 0.58)","(50.23, 0.8)","(49.6, 0.7)","(48.892, 0.41)","(47.701, 0.13)","(44.047, 0.4)","(42.944, -0.88)","(43.431, 0.37)","(42.262, 0.16)","(39.668, 0.87)","(39.213, 0.51)","(38.442, 0.26)","(36.984, 0.5)","(36.24, 0.11)","(32.933, 0.97)","(32.595, 0.2)","(30.937, 0.39)","(30.148, 0.21)","(28.707, 0)"
tennessee,"(376.582, 0.51)","(369.213, 0.45)","(360.927, 0.62)","(355.133, 0.45)","(347.296, 0.19)","(329.077, 0.6)","(323.556, 0.61)","(318.251, 0.26)","(306.055, 0.41)","(298.673, 1.07)","(295.87, -0.81)","(299.52, 0.97)","(296.417, -1.03)","(299.292, 0.47)","(292.957, 0.67)","(288.593, 0.24)","(276.496, 0.47)","(270.553, 0.3)","(261.499, -8.2)","(261.818, 0.88)","(258.845, 0.28)","(249.693, 0.15)","(232.789, 0)"
texas,"(1843.803, 1.14)","(1827.691, 0.2)","(1735.858, 0.24)","(1664.709, -1.2)","(1678.625, -0.84)","(1698.6, 0.39)","(1655.543, 0.23)","(1583.439, 0.26)","(1523.067, 0.2)","(1445.266, 0.2)","(1374.269, -0.14)","(1472.134, 0.35)","(1430.195, 0.18)","(1351.393, 0.16)","(1266.47, 0.2)","(1201.673, 0.16)","(1128.297, 0.3)","(1091.069, 3.05)","(1087.488, 0.43)","(1062.295, 0.17)","(999.877, 0.27)","(962.281, 0.23)","(920.109, 0)"
utah,"(192.519, 0.25)","(184.865, 0.18)","(174.702, 0.23)","(167.187, 0.23)","(159.794, 0.25)","(153.309, 0.31)","(148.425, 0.38)","(144.557, 0.77)","(142.668, 0.3)","(137.948, 0.36)","(134.143, -0.35)","(137.984, -1.16)","(139.178, 0.2)","(132.162, 0.12)","(121.103, 0.16)","(113.594, 0.19)","(107.616, 0.51)","(105.488, 0.47)","(103.263, 0.5)","(101.202, 0.25)","(97.078, 0.23)","(92.887, 0.16)","(86.993, 0)"
vermont,"(34.013, 0.77)","(33.57, 1.93)","(33.396, 16.7)","(33.376, 0.71)","(32.903, 0.44)","(32.162, 1.58)","(31.958, -0.67)","(32.437, 1.32)","(32.191, 0.62)","(31.67, 0.29)","(30.571, 38.21)","(30.563, 0.51)","(29.969, -0.92)","(30.295, 2.63)","(30.18, 1.71)","(30.003, 0.23)","(28.725, 0.36)","(27.926, 0.34)","(27.116, 0.35)","(26.331, 0.24)","(25.228, 0.2)","(23.98, 0.35)","(23.301, 0)"
virginia,"(556.905, 0.4)","(543.035, 0.57)","(533.523, 0.86)","(527.302, 0.71)","(519.918, 0.31)","(503.181, 5.03)","(502.18, 2.04)","(499.715, 1.17)","(495.442, 7.21)","(494.755, 0.45)","(483.832, 0.67)","(476.643, -14.99)","(476.961, 1.04)","(472.391, 0.52)","(463.389, 0.2)","(440.517, 0.23)","(421.733, 0.27)","(406.387, 0.65)","(400.148, 0.26)","(384.796, 0.21)","(366.19, 0.17)","(345.23, 0.17)","(324.416, 0)"
washington,"(612.996, 0.22)","(585.689, 0.16)","(550.024, 0.21)","(524.185, 0.29)","(506.153, 0.19)","(479.8, 0.29)","(463.018, 0.35)","(449.76, 0.3)","(434.557, 0.6)","(427.282, 0.46)","(417.969, -0.77)","(423.408, 1.5)","(420.591, 0.17)","(395.524, 0.25)","(379.938, 0.17)","(357.509, 0.52)","(350.61, 0.51)","(343.716, 0.54)","(337.349, -0.67)","(342.407, 0.87)","(338.452, 0.13)","(312.728, 0.15)","(292.211, 0)"
west-virginia,"(78.864, -5.12)","(79.018, 0.26)","(75.934, 0.48)","(74.339, -0.45)","(75.988, -0.43)","(77.743, -1.32)","(78.332, 1.59)","(77.84, -1.64)","(78.316, 0.38)","(76.281, 0.42)","(74.485, 1.11)","(73.816, 0.28)","(71.167, 1.11)","(70.523, 0.34)","(68.438, 0.22)","(65.257, 0.39)","(63.57, 0.99)","(62.93, 0.6)","(61.884, 0.93)","(61.22, -2.77)","(61.441, 0.36)","(59.73, 0.5)","(58.524, 0)"
wisconsin,"(349.416, 0.6)","(343.579, 0.37)","(334.168, 2.51)","(332.839, 0.84)","(328.883, 0.31)","(318.296, 0.43)","(310.942, 1.14)","(308.213, 0.52)","(302.255, 0.62)","(297.41, 0.41)","(290.126, -2.5)","(291.286, -0.62)","(295.989, 1.47)","(293.979, 0.69)","(289.701, 0.58)","(284.724, 0.33)","(276.115, 0.44)","(269.879, 0.5)","(264.481, 0.55)","(259.7, 0.41)","(253.326, 0.23)","(242.5, 0.22)","(231.369, 0)"
wyoming,"(40.42, 50.52)","(40.412, 0.26)","(38.847, 0.42)","(37.914, -0.14)","(40.626, -0.19)","(42.714, -1.7)","(42.965, -2.3)","(43.152, -0.22)","(45.098, 0.33)","(43.736, 0.4)","(42.642, -0.05)","(50.664, 0.08)","(44.444, 0.11)","(40.455, 0.07)","(34.955, 0.08)","(30.748, 0.15)","(28.635, 0.14)","(26.524, 1.18)","(26.299, 0.17)","(24.719, 0.15)","(23.101, 0.25)","(22.195, 15.85)","(22.181, 0)"
hawaii,"(40.42, 50.52)","(40.412, 0.26)","(38.847, 0.42)","(37.914, -0.14)","(40.626, -0.19)","(42.714, -1.7)","(42.965, -2.3)","(43.152, -0.22)","(45.098, 0.33)","(43.736, 0.4)","(42.642, -0.05)","(50.664, 0.08)","(44.444, 0.11)","(40.455, 0.07)","(34.955, 0.08)","(30.748, 0.15)","(28.635, 0.14)","(26.524, 1.18)","(26.299, 0.17)","(24.719, 0.15)","(23.101, 0.25)","(22.195, 15.85)","(22.181, 0)"
