year,state,state_abbr,dem_vote,rep_vote,total_vote,dem_percent,rep_percent
2000,indiana,in,901980,1245836,2147816,0.42,0.58
2000,iowa,ia,638517,634373,1272890,0.5016,0.4984
2000,kansas,ks,399276,622332,1021608,0.3908,0.6092
2000,kentucky,ky,638923,872520,1511443,0.4227,0.5773
2000,louisiana,la,792344,927871,1720215,0.4606,0.5394
2000,maine,me,319951,286616,606567,0.5275,0.4725
2000,maryland,md,1144008,813827,1957835,0.5843,0.4157
2000,massachusetts,ma,1616487,878502,2494989,0.6479,0.3521
2000,michigan,mi,2170418,1953139,4123557,0.5263,0.4737
2000,minnesota,mn,1168266,1109659,2277925,0.5129,0.4871
2000,mississippi,ms,404614,572844,977458,0.4139,0.5861
2000,missouri,mo,1111138,1189924,2301062,0.4829,0.5171
2000,montana,mt,137126,240178,377304,0.3634,0.6366
2000,nebraska,ne,231780,433862,665642,0.3482,0.6518
2000,nevada,nv,279978,301575,581553,0.4814,0.5186
2000,new-hampshire,nh,266348,273559,539907,0.4933,0.5067
2000,new-jersey,nj,1788850,1284173,3073023,0.5821,0.4179
2000,new-mexico,nm,286783,286417,573200,0.5003,0.4997
2000,new-york,ny,3942215,2258577,6200792,0.6358,0.3642
2000,north-carolina,nc,1257692,1631163,2888855,0.4354,0.5646
2000,north-dakota,nd,95284,174852,270136,0.3527,0.6473
2000,ohio,oh,2183628,2350363,4533991,0.4816,0.5184
2000,oklahoma,ok,474276,744337,1218613,0.3892,0.6108
2000,oregon,or,720342,713577,1433919,0.5024,0.4976
2000,pennsylvania,pa,2485967,2281127,4767094,0.5215,0.4785
2000,rhode-island,ri,249508,130555,380063,0.6565,0.3435
2000,south-carolina,sc,566037,786892,1352929,0.4184,0.5816
2000,south-dakota,sd,118804,190700,309504,0.3839,0.6161
2000,tennessee,tn,981720,1061949,2043669,0.4804,0.5196
2000,texas,tx,2433746,3799639,6233385,0.3904,0.6096
2000,utah,ut,203053,515096,718149,0.2827,0.7173
2000,vermont,vt,149022,119775,268797,0.5544,0.4456
2000,virginia,va,1217290,1437490,2654780,0.4585,0.5415
2000,washington,wa,1247652,1108864,2356516,0.5294,0.4706
2000,west-virginia,wv,295497,336475,631972,0.4676,0.5324
2000,wisconsin,wi,1242987,1237279,2480266,0.5012,0.4988
2000,wyoming,wy,60481,147947,208428,0.2902,0.7098
2004,alabama,al,693933,1176394,1870327,0.371,0.629
2004,alaska,ak,111025,190889,301914,0.3677,0.6323
2004,arizona,az,893524,1104294,1997818,0.4472,0.5528
2004,arkansas,ar,469953,572898,1042851,0.4506,0.5494
2004,california,ca,6745485,5509826,12255311,0.5504,0.4496
2004,colorado,co,1001732,1101255,2102987,0.4763,0.5237
2004,connecticut,ct,857488,693826,1551314,0.5527,0.4473
2004,delaware,de,200152,171660,371812,0.5383,0.4617
2004,district-of-columbia,dc,202970,21256,224226,0.9052,0.0948
2004,florida,fl,3583544,3964522,7548066,0.4748,0.5252
2004,georgia,ga,1366149,1914254,3280403,0.4165,0.5835
2004,hawaii,hi,231708,194191,425899,0.544,0.456
2004,idaho,id,181098,409235,590333,0.3068,0.6932
2004,illinois,il,2891550,2345946,5237496,0.5521,0.4479
2004,indiana,in,969011,1479438,2448449,0.3958,0.6042
2004,iowa,ia,741898,751957,1493855,0.4966,0.5034
2004,kansas,ks,434993,736456,1171449,0.3713,0.6287
2004,kentucky,ky,712733,1069439,1782172,0.3999,0.6001
2004,louisiana,la,820299,1102169,1922468,0.4267,0.5733
2004,maine,me,396842,330201,727043,0.5458,0.4542
2004,maryland,md,1334493,1024703,2359203,0.5657,0.4343
2004,massachusetts,ma,1803800,1071109,2874909,0.6274,0.3726
2004,michigan,mi,2479183,2313746,4792929,0.5173,0.4827
2004,minnesota,mn,1445014,1346695,2791709,0.5176,0.4824
2004,mississippi,ms,457766,672660,1130426,0.4049,0.5951
2004,missouri,mo,1259171,1455713,2714884,0.4638,0.5362
2004,montana,mt,173710,266063,439773,0.395,0.605
2004,nebraska,ne,254328,512814,767142,0.3315,0.6685
2004,nevada,nv,397190,418690,815880,0.4868,0.5132
2004,new-hampshire,nh,340511,331237,671748,0.5069,0.4931
2004,new-jersey,nj,1911430,1670003,3581433,0.5337,0.4663
2004,new-mexico,nm,370942,376930,747872,0.496,0.504
2004,new-york,ny,4180755,2806993,6987748,0.5983,0.4017
2004,north-carolina,nc,1525849,1961166,3487015,0.4376,0.5624
2004,north-dakota,nd,111052,196651,307703,0.3609,0.6391
2004,ohio,oh,2741165,2859764,5600929,0.4894,0.5106
2004,oklahoma,ok,503966,959792,1463758,0.3443,0.6557
2004,oregon,or,943163,866831,1809994,0.5211,0.4789
2004,pennsylvania,pa,2938095,2793847,5731942,0.5126,0.4874
2004,rhode-island,ri,259760,169046,428806,0.6058,0.3942
2004,south-carolina,sc,661669,937974,1599643,0.4136,0.5864
2004,south-dakota,sd,149244,232584,381828,0.3909,0.6091
2004,tennessee,tn,1036477,1384375,2420852,0.4281,0.5719
2004,texas,tx,2832704,4526917,7359621,0.3849,0.6151
2004,utah,ut,241199,663742,904941,0.2665,0.7335
2004,vermont,vt,184067,121180,305247,0.603,0.397
2004,virginia,va,1454742,1716959,3171701,0.4587,0.5413
2004,washington,wa,1510201,1304894,2815095,0.5365,0.4635
2004,west-virginia,wv,326541,423778,750319,0.4352,0.5648
2004,wisconsin,wi,1489504,1478120,2967624,0.5019,0.4981
2004,wyoming,wy,70776,167629,238405,0.2969,0.7031
2008,alabama,al,813479,1266546,2080025,0.3911,0.6089
2008,alaska,ak,123594,193841,317435,0.3894,0.6106
2008,arizona,az,1034707,1230111,2264818,0.4569,0.5431
2008,arkansas,ar,422310,638017,1060327,0.3983,0.6017
2008,california,ca,8274473,5011781,13286254,0.6228,0.3772
2008,colorado,co,1288576,1073589,2362165,0.5455,0.4545
2008,connecticut,ct,997772,629428,1627200,0.6132,0.3868
2008,delaware,de,255459,152374,407833,0.6264,0.3736
2008,district-of-columbia,dc,245800,17367,263167,0.934,0.066
2008,florida,fl,4282074,4045624,8327698,0.5142,0.4858
2008,georgia,ga,1844123,2048759,3892882,0.4737,0.5263
2008,hawaii,hi,325871,120566,446437,0.7299,0.2701
2008,idaho,id,236440,403012,639452,0.3698,0.6302
2008,illinois,il,3419348,2031179,5450527,0.6273,0.3727
2008,indiana,in,1374039,1345648,2719687,0.5052,0.4948
2008,iowa,ia,828940,682379,1511319,0.5485,0.4515
2008,kansas,ks,514765,699655,1214420,0.4239,0.5761
2008,kentucky,ky,751985,1048462,1800447,0.4177,0.5823
2008,louisiana,la,782989,1148275,1931264,0.4054,0.5946
2008,maine,me,421923,295273,717196,0.5883,0.4117
2008,maryland,md,1629467,959862,2589329,0.6293,0.3707
2008,massachusetts,ma,1904097,1108854,3012951,0.632,0.368
2008,michigan,mi,2872579,2048639,4921218,0.5837,0.4163
2008,minnesota,mn,1573354,1275409,2848763,0.5523,0.4477
2008,mississippi,ms,554662,724597,1279259,0.4336,0.5664
2008,missouri,mo,1441911,1445814,2887725,0.4993,0.5007
2008,montana,mt,231667,242763,474430,0.4883,0.5117
2008,nebraska,ne,333319,452979,786298,0.4239,0.5761
2008,nevada,nv,533736,412827,946563,0.5639,0.4361
2008,new-hampshire,nh,384826,316534,701360,0.5487,0.4513
2008,new-jersey,nj,2215422,1613207,3828629,0.5786,0.4214
